img,method,starting colors,k,n_points,comp type,time,world_size
3,OMP,74563,29,784996,light,0.0216631,8
3,MPI,74563,29,784996,light,0.0427259,2
3,MPI,74563,29,784996,light,0.0282281,3
3,MPI,74563,29,784996,light,0.0262794,4
3,Sequential,74563,29,784996,light,0.0609596,0
4,OMP,74563,29,1048576,light,0.0327764,4
4,OMP,74563,29,1048576,light,0.0296339,6
4,OMP,74563,29,1048576,light,0.0309864,8
4,MPI,74563,29,1048576,light,0.0531455,2
4,MPI,74563,29,1048576,light,0.0377947,3
4,MPI,74563,29,1048576,light,0.0393022,4
4,Sequential,74563,29,1048576,light,0.0788607,0
5,OMP,74563,29,1308736,light,0.0418123,4
5,OMP,74563,29,1308736,light,0.0377562,6
5,OMP,74563,29,1308736,light,0.0365623,8
5,MPI,74563,29,1308736,light,0.0734958,2
5,MPI,74563,29,1308736,light,0.0510631,3
5,MPI,74563,29,1308736,light,0.0474166,4
5,Sequential,74563,29,1308736,light,0.0996659,0
6,OMP,74563,29,1572516,light,0.0516043,4
6,OMP,74563,29,1572516,light,0.0473341,6
6,OMP,74563,29,1572516,light,0.0448876,8
6,MPI,74563,29,1572516,light,0.077348,2
6,MPI,74563,29,1572516,light,0.0562563,3
6,MPI,74563,29,1572516,light,0.0480625,4
6,Sequential,74563,29,1572516,light,0.120303,0
7,OMP,74563,29,1833316,light,0.0606432,4
7,OMP,74563,29,1833316,light,0.054287,6
7,OMP,74563,29,1833316,light,0.0546816,8
7,MPI,74563,29,1833316,light,0.0923024,2
7,MPI,74563,29,1833316,light,0.0773527,3
7,MPI,74563,29,1833316,light,0.0623823,4
7,Sequential,74563,29,1833316,light,0.144472,0
8,OMP,74563,29,2096704,light,0.073417,4
8,OMP,74563,29,2096704,light,0.0679137,6
8,OMP,74563,29,2096704,light,0.0675807,8
8,MPI,74563,29,2096704,light,0.123492,2
8,MPI,74563,29,2096704,light,0.0760721,3
8,MPI,74563,29,2096704,light,0.0608222,4
8,Sequential,74563,29,2096704,light,0.171055,0
9,OMP,74563,29,2359296,light,0.0861696,4
9,OMP,74563,29,2359296,light,0.081503,6
9,OMP,74563,29,2359296,light,0.0868284,8
9,MPI,74563,29,2359296,light,0.117221,2
9,MPI,74563,29,2359296,light,0.087307,3
9,MPI,74563,29,2359296,light,0.0741708,4
9,Sequential,74563,29,2359296,light,0.192137,0
10,OMP,74563,29,2621161,light,0.0965629,4
10,OMP,74563,29,2621161,light,0.0945905,6
10,OMP,74563,29,2621161,light,0.0963495,8
10,MPI,74563,29,2621161,light,0.136532,2
10,MPI,74563,29,2621161,light,0.0933357,3
10,MPI,74563,29,2621161,light,0.0833848,4
10,Sequential,74563,29,2621161,light,0.214342,0
11,OMP,74563,29,2883204,light,0.106909,4
11,OMP,74563,29,2883204,light,0.100821,6
11,OMP,74563,29,2883204,light,0.107575,8
11,MPI,74563,29,2883204,light,0.147511,2
11,MPI,74563,29,2883204,light,0.115601,3
11,MPI,74563,29,2883204,light,0.0959245,4
11,Sequential,74563,29,2883204,light,0.236736,0
12,OMP,74563,29,3143529,light,0.115992,4
12,OMP,74563,29,3143529,light,0.113633,6
12,OMP,74563,29,3143529,light,0.115016,8
12,MPI,74563,29,3143529,light,0.155519,2
12,MPI,74563,29,3143529,light,0.122775,3
12,MPI,74563,29,3143529,light,0.106135,4
12,Sequential,74563,29,3143529,light,0.259447,0
1,OMP,74563,29,262144,light,0.00938496,4
1,OMP,74563,29,262144,light,0.00836369,6
1,OMP,74563,29,262144,light,0.00898017,8
1,MPI,74563,29,262144,light,0.015314,2
1,MPI,74563,29,262144,light,0.0117515,3
1,MPI,74563,29,262144,light,0.0104694,4
1,Sequential,74563,29,262144,light,0.0209047,0
2,OMP,74563,29,524176,light,0.0175623,4
2,OMP,74563,29,524176,light,0.0177487,6
2,OMP,74563,29,524176,light,0.0161795,8
2,MPI,74563,29,524176,light,0.0281184,2
2,MPI,74563,29,524176,light,0.0220349,3
2,MPI,74563,29,524176,light,0.0171199,4
2,Sequential,74563,29,524176,light,0.0403306,0
3,OMP,74563,29,784996,light,0.0257877,4
3,OMP,74563,29,784996,light,0.0220203,6
3,OMP,74563,29,784996,light,0.0220245,8
3,MPI,74563,29,784996,light,0.0413823,2
3,MPI,74563,29,784996,light,0.0288943,3
3,MPI,74563,29,784996,light,0.0264094,4
3,Sequential,74563,29,784996,light,0.0603241,0
4,OMP,74563,29,1048576,light,0.0337443,4
4,OMP,74563,29,1048576,light,0.0297137,6
4,OMP,74563,29,1048576,light,0.030153,8
4,MPI,74563,29,1048576,light,0.0530557,2
4,MPI,74563,29,1048576,light,0.0431618,3
4,MPI,74563,29,1048576,light,0.0326318,4
4,Sequential,74563,29,1048576,light,0.0817525,0
5,OMP,74563,29,1308736,light,0.0420268,4
5,OMP,74563,29,1308736,light,0.0361048,6
5,OMP,74563,29,1308736,light,0.036521,8
5,MPI,74563,29,1308736,light,0.0700934,2
5,MPI,74563,29,1308736,light,0.0492029,3
5,MPI,74563,29,1308736,light,0.0453233,4
5,Sequential,74563,29,1308736,light,0.10075,0
6,OMP,74563,29,1572516,light,0.0495395,4
