img,method,starting colors,k,n_points,comp type,time,world_size
5,OMP,74563,29,1308736,light,0.117157,2
5,OMP,74563,29,1308736,light,0.0928085,3
5,OMP,74563,29,1308736,light,0.0804114,4
5,MPI,74563,29,1308736,light,0.119308,2
5,MPI,74563,29,1308736,light,0.0852528,3
5,MPI,74563,29,1308736,light,0.0656027,4
5,Sequential,74563,29,1308736,light,0.193024,0
6,OMP,74563,29,1572516,light,0.145424,2
6,OMP,74563,29,1572516,light,0.112112,3
6,OMP,74563,29,1572516,light,0.0966101,4
6,MPI,74563,29,1572516,light,0.147763,2
6,MPI,74563,29,1572516,light,0.102309,3
6,MPI,74563,29,1572516,light,0.0744203,4
6,Sequential,74563,29,1572516,light,0.233575,0
7,OMP,74563,29,1833316,light,0.167416,2
7,OMP,74563,29,1833316,light,0.131827,3
7,OMP,74563,29,1833316,light,0.117762,4
7,MPI,74563,29,1833316,light,0.170902,2
7,MPI,74563,29,1833316,light,0.110437,3
7,MPI,74563,29,1833316,light,0.0930282,4
7,Sequential,74563,29,1833316,light,0.278652,0
8,OMP,74563,29,2096704,light,0.200333,2
8,OMP,74563,29,2096704,light,0.158354,3
8,OMP,74563,29,2096704,light,0.141157,4
8,MPI,74563,29,2096704,light,0.193163,2
8,MPI,74563,29,2096704,light,0.11931,3
8,MPI,74563,29,2096704,light,0.10043,4
8,Sequential,74563,29,2096704,light,0.317319,0
9,OMP,74563,29,2359296,light,0.223465,2
9,OMP,74563,29,2359296,light,0.177576,3
9,OMP,74563,29,2359296,light,0.155639,4
9,MPI,74563,29,2359296,light,0.202796,2
9,MPI,74563,29,2359296,light,0.133032,3
9,MPI,74563,29,2359296,light,0.124765,4
9,Sequential,74563,29,2359296,light,0.356334,0
10,OMP,74563,29,2621161,light,0.250162,2
10,OMP,74563,29,2621161,light,0.19868,3
10,OMP,74563,29,2621161,light,0.176076,4
10,MPI,74563,29,2621161,light,0.241748,2
10,MPI,74563,29,2621161,light,0.167779,3
10,MPI,74563,29,2621161,light,0.127883,4
10,Sequential,74563,29,2621161,light,0.396421,0
11,OMP,74563,29,2883204,light,0.27569,2
11,OMP,74563,29,2883204,light,0.217413,3
11,OMP,74563,29,2883204,light,0.193749,4
11,MPI,74563,29,2883204,light,0.248274,2
11,MPI,74563,29,2883204,light,0.165082,3
11,MPI,74563,29,2883204,light,0.143864,4
11,Sequential,74563,29,2883204,light,0.438475,0
12,OMP,74563,29,3143529,light,0.304266,2
12,OMP,74563,29,3143529,light,0.236204,3
12,OMP,74563,29,3143529,light,0.21159,4
12,MPI,74563,29,3143529,light,0.303334,2
12,MPI,74563,29,3143529,light,0.189386,3
12,MPI,74563,29,3143529,light,0.14811,4
12,Sequential,74563,29,3143529,light,0.478136,0
1,OMP,74563,29,262144,light,0.0254874,2
1,OMP,74563,29,262144,light,0.0212244,3
1,OMP,74563,29,262144,light,0.0179402,4
1,MPI,74563,29,262144,light,0.0281609,2
1,MPI,74563,29,262144,light,0.0207596,3
1,MPI,74563,29,262144,light,0.0164349,4
1,Sequential,74563,29,262144,light,0.0406691,0
2,OMP,74563,29,524176,light,0.0482493,2
2,OMP,74563,29,524176,light,0.0372332,3
2,OMP,74563,29,524176,light,0.0322319,4
2,MPI,74563,29,524176,light,0.0552517,2
2,MPI,74563,29,524176,light,0.0345905,3
2,MPI,74563,29,524176,light,0.0300854,4
2,Sequential,74563,29,524176,light,0.0790939,0
3,OMP,74563,29,784996,light,0.0702835,2
3,OMP,74563,29,784996,light,0.0591369,3
3,OMP,74563,29,784996,light,0.0498968,4
3,MPI,74563,29,784996,light,0.0726015,2
3,MPI,74563,29,784996,light,0.0551047,3
3,MPI,74563,29,784996,light,0.0526367,4
3,Sequential,74563,29,784996,light,0.119182,0
4,OMP,74563,29,1048576,light,0.0934134,2
4,OMP,74563,29,1048576,light,0.0729486,3
4,OMP,74563,29,1048576,light,0.0639416,4
4,MPI,74563,29,1048576,light,0.102226,2
4,MPI,74563,29,1048576,light,0.0779193,3
4,MPI,74563,29,1048576,light,0.0595423,4
4,Sequential,74563,29,1048576,light,0.15405,0
5,OMP,74563,29,1308736,light,0.11812,2
5,OMP,74563,29,1308736,light,0.0959551,3
5,OMP,74563,29,1308736,light,0.080649,4
5,MPI,74563,29,1308736,light,0.126513,2
5,MPI,74563,29,1308736,light,0.0758221,3
5,MPI,74563,29,1308736,light,0.0642871,4
5,Sequential,74563,29,1308736,light,0.193941,0
6,OMP,74563,29,1572516,light,0.14598,2
6,OMP,74563,29,1572516,light,0.110583,3
6,OMP,74563,29,1572516,light,0.0985463,4
6,MPI,74563,29,1572516,light,0.148479,2
6,MPI,74563,29,1572516,light,0.0960585,3
6,MPI,74563,29,1572516,light,0.0825738,4
6,Sequential,74563,29,1572516,light,0.238539,0
7,OMP,74563,29,1833316,light,0.170711,2
7,OMP,74563,29,1833316,light,0.134723,3
7,OMP,74563,29,1833316,light,0.114529,4
7,MPI,74563,29,1833316,light,0.184276,2
7,MPI,74563,29,1833316,light,0.105728,3
7,MPI,74563,29,1833316,light,0.109507,4
7,Sequential,74563,29,1833316,light,0.272625,0
8,OMP,74563,29,2096704,light,0.197955,2
8,OMP,74563,29,2096704,light,0.157062,3
8,OMP,74563,29,2096704,light,0.13988,4
8,MPI,74563,29,2096704,light,0.20461,2
8,MPI,74563,29,2096704,light,0.122892,3
8,MPI,74563,29,2096704,light,0.103965,4
8,Sequential,74563,29,2096704,light,0.31715,0
9,OMP,74563,29,2359296,light,0.22628,2
9,OMP,74563,29,2359296,light,0.179501,3
9,OMP,74563,29,2359296,light,0.15576,4
9,MPI,74563,29,2359296,light,0.224751,2
9,MPI,74563,29,2359296,light,0.154976,3
9,MPI,74563,29,2359296,light,0.131111,4
9,Sequential,74563,29,2359296,light,0.356511,0
10,OMP,74563,29,2621161,light,0.249623,2
10,OMP,74563,29,2621161,light,0.198165,3
10,OMP,74563,29,2621161,light,0.172071,4
10,MPI,74563,29,2621161,light,0.255771,2
10,MPI,74563,29,2621161,light,0.154126,3
10,MPI,74563,29,2621161,light,0.127574,4
10,Sequential,74563,29,2621161,light,0.401667,0
11,OMP,74563,29,2883204,light,0.27531,2
11,OMP,74563,29,2883204,light,0.219024,3
11,OMP,74563,29,2883204,light,0.191878,4
11,MPI,74563,29,2883204,light,0.268175,2
11,MPI,74563,29,2883204,light,0.180361,3
11,MPI,74563,29,2883204,light,0.140217,4
11,Sequential,74563,29,2883204,light,0.437414,0
12,OMP,74563,29,3143529,light,0.298257,2
12,OMP,74563,29,3143529,light,0.241457,3
12,OMP,74563,29,3143529,light,0.21138,4
12,MPI,74563,29,3143529,light,0.268092,2
12,MPI,74563,29,3143529,light,0.17847,3
12,MPI,74563,29,3143529,light,0.17455,4
12,Sequential,74563,29,3143529,light,0.477405,0
1,OMP,74563,29,262144,light,0.0249929,2
1,OMP,74563,29,262144,light,0.0198258,3
1,OMP,74563,29,262144,light,0.0182123,4
1,MPI,74563,29,262144,light,0.0285411,2
1,MPI,74563,29,262144,light,0.0174537,3
1,MPI,74563,29,262144,light,0.0164094,4
1,Sequential,74563,29,262144,light,0.0405109,0
2,OMP,74563,29,524176,light,0.052201,2
2,OMP,74563,29,524176,light,0.0383552,3
2,OMP,74563,29,524176,light,0.0338566,4
2,MPI,74563,29,524176,light,0.0520124,2
2,MPI,74563,29,524176,light,0.0317236,3
2,MPI,74563,29,524176,light,0.0342178,4
2,Sequential,74563,29,524176,light,0.0794595,0
3,OMP,74563,29,784996,light,0.07156,2
3,OMP,74563,29,784996,light,0.056056,3
3,OMP,74563,29,784996,light,0.0476993,4
3,MPI,74563,29,784996,light,0.0799835,2
3,MPI,74563,29,784996,light,0.0572633,3
3,MPI,74563,29,784996,light,0.045125,4
3,Sequential,74563,29,784996,light,0.11666,0
4,OMP,74563,29,1048576,light,0.093477,2
4,OMP,74563,29,1048576,light,0.0756984,3
4,OMP,74563,29,1048576,light,0.0647901,4
4,MPI,74563,29,1048576,light,0.100087,2
4,MPI,74563,29,1048576,light,0.0688713,3
4,MPI,74563,29,1048576,light,0.0517421,4
4,Sequential,74563,29,1048576,light,0.153909,0
5,OMP,74563,29,1308736,light,0.118548,2
5,OMP,74563,29,1308736,light,0.0937329,3
5,OMP,74563,29,1308736,light,0.0797939,4
5,MPI,74563,29,1308736,light,0.135175,2
5,MPI,74563,29,1308736,light,0.0880878,3
5,MPI,74563,29,1308736,light,0.0735332,4
5,Sequential,74563,29,1308736,light,0.193177,0
6,OMP,74563,29,1572516,light,0.144291,2
6,OMP,74563,29,1572516,light,0.112089,3
6,OMP,74563,29,1572516,light,0.0973956,4
6,MPI,74563,29,1572516,light,0.148609,2
6,MPI,74563,29,1572516,light,0.108588,3
6,MPI,74563,29,1572516,light,0.0786244,4
6,Sequential,74563,29,1572516,light,0.23517,0
7,OMP,74563,29,1833316,light,0.170744,2
7,OMP,74563,29,1833316,light,0.133655,3
7,OMP,74563,29,1833316,light,0.11567,4
